2017-01-24 02:43:24,761 - INFO - 3692:Dummy-30 - zato_admin:22 - cid:[K07JH02K61DVKJX57WY66J0GMEA1], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:43:24,762 - INFO - 3692:Dummy-30 - zato_admin:22 - cid:[K07JH02K61DVKJX57WY66J0GMEA1], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:43:24,765 - INFO - 3691:Dummy-55 - zato_admin:22 - cid:[K07JH02K61DVKJX57WY66J0GMEA1], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:43:24,778 - INFO - 3691:Dummy-55 - zato_admin:22 - cid:[K07JH02K61DVKJX57WY66J0GMEA1], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:43:41,410 - INFO - 3691:Dummy-56 - zato_admin:22 - cid:[K04SZ4PBT443TGD3QHYT0CQ1BHRM], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:43:41,431 - INFO - 3691:Dummy-56 - zato_admin:22 - cid:[K04SZ4PBT443TGD3QHYT0CQ1BHRM], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:43:54,255 - INFO - 3691:Dummy-57 - zato_admin:22 - cid:[K04R03PKKND875P0R8TZPSJRG9HW], name:[zato.stats.summary.create-summary-by-week], SIO request:[{}]
2017-01-24 02:43:54,308 - INFO - 3691:Dummy-57 - zato_admin:22 - cid:[K04R03PKKND875P0R8TZPSJRG9HW], name:[zato.stats.summary.create-summary-by-week], response:[]
2017-01-24 02:43:54,309 - INFO - 3692:Dummy-31 - zato_admin:22 - cid:[K058W0DKFTK87SQ1AMGJ98AMRC9C], name:[zato.stats.aggregate-by-hour], SIO request:[{}]
2017-01-24 02:43:54,310 - INFO - 3692:Dummy-31 - zato_admin:22 - cid:[K058W0DKFTK87SQ1AMGJ98AMRC9C], name:[zato.stats.aggregate-by-hour], response:[]
2017-01-24 02:43:54,494 - INFO - 3692:Dummy-32 - zato_admin:22 - cid:[K04YK0Q2Y20ZP0FNJ77TH0QKTGD9], name:[zato.stats.aggregate-by-minute], SIO request:[{}]
2017-01-24 02:43:54,509 - INFO - 3692:Dummy-32 - zato_admin:22 - cid:[K04YK0Q2Y20ZP0FNJ77TH0QKTGD9], name:[zato.stats.aggregate-by-minute], response:[]
2017-01-24 02:43:54,760 - INFO - 3692:Dummy-33 - zato_admin:22 - cid:[K078B0DBDMPXN0TXHWN61WH1Z85J], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:43:54,760 - INFO - 3692:Dummy-33 - zato_admin:22 - cid:[K078B0DBDMPXN0TXHWN61WH1Z85J], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:43:54,761 - INFO - 3691:Dummy-59 - zato_admin:22 - cid:[K078B0DBDMPXN0TXHWN61WH1Z85J], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:43:54,778 - INFO - 3691:Dummy-59 - zato_admin:22 - cid:[K078B0DBDMPXN0TXHWN61WH1Z85J], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:44:11,490 - INFO - 3691:Dummy-60 - zato_admin:22 - cid:[K06JYD27CZ1E601JBKQS9AQ33KSH], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:44:11,512 - INFO - 3691:Dummy-60 - zato_admin:22 - cid:[K06JYD27CZ1E601JBKQS9AQ33KSH], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:44:24,538 - INFO - 3692:Dummy-34 - zato_admin:22 - cid:[K05ZAQ5952ET3CMG8P2FFKKG8ZM2], name:[zato.stats.process-raw-times], SIO request:[{}]
2017-01-24 02:44:24,551 - INFO - 3692:Dummy-34 - zato_admin:22 - cid:[K05ZAQ5952ET3CMG8P2FFKKG8ZM2], name:[zato.stats.process-raw-times], response:[]
